                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0969,                 0.6955,                 2.1613,                0.96007,                0.95334,                0.98139,                0.84331,                   1.31,                0.62744,                 2.2671,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0949,                0.67984,                 2.1554,                0.95669,                0.94827,                0.97495,                0.83474,                 1.3128,                 0.6393,                 2.2779,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0822,                0.66891,                 2.1384,                0.95711,                0.94255,                0.97695,                 0.8445,                 1.3035,                0.64068,                 2.2714,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0823,                0.70306,                 2.1391,                0.97499,                 0.9472,                0.98163,                0.85033,                 1.2649,                0.59193,                 2.2475,               0.000458,               0.000458,               0.000458
                     66,                 1.0804,                 0.6714,                 2.1405,                0.95099,                0.95228,                0.97968,                0.84419,                  1.303,                0.57883,                 2.2626,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0566,                0.64331,                 2.1288,                0.96086,                0.96509,                0.98226,                0.84539,                 1.2922,                0.58037,                  2.263,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0768,                0.67661,                 2.1389,                0.97141,                0.96132,                0.98024,                 0.8507,                 1.2736,                0.56514,                  2.257,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.0493,                0.65317,                 2.1151,                0.96139,                0.95803,                0.98152,                0.84727,                 1.2927,                0.57826,                 2.2755,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0474,                0.62186,                 2.1119,                0.94276,                0.96165,                0.97432,                0.84004,                 1.2743,                0.59236,                 2.2647,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.0431,                0.64991,                  2.118,                0.95803,                 0.9479,                0.97888,                0.84897,                 1.2717,                0.56553,                 2.2503,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0251,                0.62717,                 2.1121,                0.96775,                0.94723,                0.97437,                0.84277,                 1.2722,                0.57435,                 2.2423,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.0277,                0.62727,                 2.1064,                 0.9759,                0.95535,                0.97847,                  0.847,                 1.2674,                0.55354,                 2.2376,               0.000359,               0.000359,               0.000359
                     74,                 1.0255,                0.61403,                 2.1111,                0.96935,                0.96393,                0.97854,                0.84677,                 1.2891,                0.55882,                 2.2675,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.0271,                0.62212,                  2.101,                0.97395,                0.94648,                0.97741,                0.84671,                 1.2718,                0.59934,                  2.249,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.0147,                0.61808,                  2.095,                0.96893,                0.95447,                0.97754,                0.84799,                 1.2844,                0.56409,                 2.2443,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.0301,                0.60842,                 2.0982,                0.96796,                 0.9623,                0.98025,                0.85309,                 1.2532,                 0.5591,                 2.2141,              0.0003095,              0.0003095,              0.0003095
                     78,                0.98965,                0.59112,                 2.0926,                 0.9553,                 0.9697,                0.97992,                0.85803,                 1.2441,                0.54702,                   2.22,             0.00029713,             0.00029713,             0.00029713
                     79,                0.99716,                0.59412,                 2.0882,                0.97179,                0.95973,                0.98059,                0.85923,                 1.2324,                0.55005,                 2.2112,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.0163,                0.60601,                 2.1014,                0.97953,                0.96445,                 0.9832,                0.85964,                 1.2171,                0.51792,                 2.2014,             0.00027237,             0.00027237,             0.00027237
                     81,                0.97997,                0.58758,                 2.0824,                0.97426,                0.95901,                0.98316,                0.86091,                 1.2106,                 0.5354,                 2.2161,                0.00026,                0.00026,                0.00026
                     82,                0.97132,                0.57812,                 2.0755,                0.97471,                0.96114,                0.98189,                0.86574,                 1.2044,                0.53251,                 2.2006,             0.00024762,             0.00024762,             0.00024762
                     83,                0.98006,                0.58737,                 2.0743,                0.97611,                0.96381,                0.98417,                0.86507,                 1.2047,                0.54168,                 2.1938,             0.00023525,             0.00023525,             0.00023525
                     84,                0.97114,                0.56601,                 2.0729,                0.97865,                 0.9649,                0.98272,                0.86195,                 1.2295,                0.55745,                 2.2141,             0.00022288,             0.00022288,             0.00022288
                     85,                0.96906,                0.56106,                 2.0765,                0.97813,                0.96921,                0.98549,                0.86508,                 1.2318,                0.53922,                 2.2081,              0.0002105,              0.0002105,              0.0002105
                     86,                0.95793,                0.55175,                  2.074,                0.96985,                0.95886,                0.98112,                0.86269,                 1.2239,                0.54575,                 2.2074,             0.00019813,             0.00019813,             0.00019813
                     87,                0.95931,                0.55863,                 2.0727,                0.97468,                0.95537,                0.98152,                0.86025,                 1.2202,                0.53948,                  2.197,             0.00018575,             0.00018575,             0.00018575
                     88,                0.93224,                0.54297,                 2.0537,                0.96094,                0.97375,                0.98322,                0.86605,                  1.219,                0.53028,                 2.1978,             0.00017338,             0.00017338,             0.00017338
                     89,                0.94246,                0.54921,                 2.0581,                0.97912,                0.96502,                0.98257,                0.87005,                 1.2289,                0.52015,                 2.2078,               0.000161,               0.000161,               0.000161
                     90,                0.92697,                0.53811,                 2.0588,                0.96956,                0.97034,                0.98547,                0.87165,                 1.2217,                0.52578,                 2.1888,             0.00014862,             0.00014862,             0.00014862
                     91,                0.83247,                0.43259,                 2.0448,                0.97637,                0.95674,                0.98059,                 0.8595,                 1.2538,                0.52637,                 2.2415,             0.00013625,             0.00013625,             0.00013625
                     92,                0.79984,                0.39141,                 2.0195,                0.97619,                0.96057,                0.98278,                0.85968,                 1.2344,                0.54287,                 2.2243,             0.00012387,             0.00012387,             0.00012387
                     93,                0.79078,                0.37906,                 2.0131,                 0.9688,                0.96359,                0.98301,                0.86503,                 1.2283,                0.54239,                  2.192,              0.0001115,              0.0001115,              0.0001115
                     94,                0.77854,                0.37313,                 2.0095,                0.97152,                0.96689,                0.98409,                0.86523,                 1.2366,                0.53437,                 2.2032,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.78057,                0.36303,                 2.0099,                0.97174,                0.97251,                  0.983,                0.86284,                 1.2553,                 0.5305,                 2.2266,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.74942,                0.35794,                 1.9836,                 0.9698,                0.96607,                0.98355,                0.86458,                 1.2393,                 0.5325,                   2.21,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.75087,                 0.3528,                 1.9872,                0.97368,                0.96139,                0.98285,                0.86629,                 1.2176,                0.52972,                 2.1949,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.74505,                 0.3552,                 1.9804,                0.97067,                0.97251,                0.98671,                0.86894,                 1.2159,                 0.5157,                 2.1915,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.73798,                0.35405,                 1.9688,                0.96404,                0.97188,                 0.9838,                0.86493,                 1.2142,                0.53549,                 2.1945,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 0.7368,                0.34752,                 1.9838,                0.97063,                0.96727,                0.98351,                0.86564,                 1.2172,                0.53441,                 2.1925,             2.4875e-05,             2.4875e-05,             2.4875e-05
